condition_id,ring number,geology_1,geology_2,geology_3,geology_4,geology_5,geology_6,cutter speed,total thrust,grouting pressure,sync grouting volume,stock solution ratio,foam pressure,expansion rate,dosage,cutter torque,tunneling speed
2,548.0,0.0,0.0,0.16,0.84,0.0,0.0,1.6,26800.0,1.87,2.65,2.5,3.32,11.0,56.5,3680.0,26.0
2,548.0,0.0,0.0,0.16,0.84,0.0,0.0,1.6,30300.0,2.1,8.76,2.5,3.58,11.0,56.2,2060.0,44.0
2,548.0,0.0,0.0,0.16,0.84,0.0,0.0,1.6,30300.0,2.1,8.76,2.5,3.58,11.0,56.2,2060.0,44.0
2,548.0,0.0,0.0,0.16,0.84,0.0,0.0,1.6,23100.0,1.87,2.65,2.5,3.29,11.0,56.2,2380.0,79.0
2,548.0,0.0,0.0,0.16,0.84,0.0,0.0,1.6,26600.0,1.87,2.65,2.5,3.28,11.0,56.4,4260.0,3.0
2,548.0,0.0,0.0,0.16,0.84,0.0,0.0,1.6,17600.0,1.87,2.65,2.5,3.26,11.0,56.5,1750.0,40.0
2,548.0,0.0,0.0,0.16,0.84,0.0,0.0,1.6,30300.0,2.1,8.76,2.5,3.58,11.0,56.2,2060.0,44.0
2,548.0,0.0,0.0,0.16,0.84,0.0,0.0,1.6,23100.0,1.87,2.65,2.5,3.29,11.0,56.2,2380.0,79.0
2,548.0,0.0,0.0,0.16,0.84,0.0,0.0,1.6,26800.0,1.87,2.65,2.5,3.32,11.0,56.5,3680.0,26.0
2,548.0,0.0,0.0,0.16,0.84,0.0,0.0,1.6,30300.0,2.1,8.76,2.5,3.58,11.0,56.2,2060.0,44.0
2,548.0,0.0,0.0,0.16,0.84,0.0,0.0,1.6,25600.0,1.87,2.65,2.5,3.35,11.0,56.4,2950.0,9.0
2,548.0,0.0,0.0,0.16,0.84,0.0,0.0,1.6,23100.0,1.87,2.65,2.5,3.29,11.0,56.2,2380.0,79.0
2,548.0,0.0,0.0,0.16,0.84,0.0,0.0,1.6,23100.0,1.87,2.65,2.5,3.29,11.0,56.2,2380.0,79.0
2,548.0,0.0,0.0,0.16,0.84,0.0,0.0,1.6,26800.0,1.87,2.65,2.5,3.32,11.0,56.5,3680.0,26.0
2,548.0,0.0,0.0,0.16,0.84,0.0,0.0,1.6,25600.0,1.87,2.65,2.5,3.35,11.0,56.4,2950.0,9.0
2,548.0,0.0,0.0,0.16,0.84,0.0,0.0,1.6,26300.0,1.87,2.65,2.5,3.27,11.0,56.1,4770.0,7.0
2,548.0,0.0,0.0,0.16,0.84,0.0,0.0,1.6,26600.0,1.87,2.65,2.5,3.28,11.0,56.4,4260.0,3.0
2,548.0,0.0,0.0,0.16,0.84,0.0,0.0,1.6,25600.0,1.87,2.65,2.5,3.35,11.0,56.4,2950.0,9.0
2,548.0,0.0,0.0,0.16,0.84,0.0,0.0,1.6,26800.0,1.87,2.65,2.5,3.32,11.0,56.5,3680.0,26.0
